Census_yr,Block_ID,the_geom,CLUE_area,Estabs,Employment,Floor_sqm
2016,306,"MULTIPOLYGON (((144.94494162906142 -37.79486654230963, 144.9447287542105 -37.79605418355372, 144.94471657568604 -37.796128663153745, 144.9417666876922 -37.79579788498212, 144.9417318122404 -37.79579397354155, 144.94164154895006 -37.79578410871273, 144.94186685846853 -37.79452462028143, 144.94494162906142 -37.79486654230963)))",North Melbourne,1,1,27320
2016,307,"MULTIPOLYGON (((144.94494162906142 -37.79486654230963, 144.9459041538291 -37.79497406500841, 144.94569106919707 -37.79616252366081, 144.9447287542105 -37.79605418355372, 144.94494162906142 -37.79486654230963)))",North Melbourne,0,0,6216
2016,324,"MULTIPOLYGON (((144.94569106919707 -37.79616252366081, 144.94665679846662 -37.79627124078149, 144.94661855464668 -37.7964825846034, 144.946590650951 -37.79663954520503, 144.94643555813323 -37.797511933879356, 144.9445108164095 -37.79729034425823, 144.9446661459979 -37.79642131215338, 144.94471657568604 -37.796128663153745, 144.9447287542105 -37.79605418355372, 144.94569106919707 -37.79616252366081)))",North Melbourne,1,0,18548
2016,326,"MULTIPOLYGON (((144.94968390881525 -37.79884165915795, 144.948871219532 -37.79875081065267, 144.9462688070169 -37.798449873155654, 144.94643555813323 -37.797511933879356, 144.946590650951 -37.79663954520503, 144.94661855464668 -37.7964825846034, 144.94898832648704 -37.7983707498924, 144.94898776110958 -37.79837119423829, 144.94968390881525 -37.79884165915795)))",North Melbourne,8,18,27009
2016,352,"MULTIPOLYGON (((144.94898832648704 -37.7983707498924, 144.94661855464668 -37.7964825846034, 144.94665679846662 -37.79627124078149, 144.94687050274078 -37.79508200700176, 144.9468817860043 -37.79501840675145, 144.95004162618022 -37.79754265377838, 144.94898832648704 -37.7983707498924)))",North Melbourne,2,0,35181
2016,325,"MULTIPOLYGON (((144.9462688070169 -37.798449873155654, 144.94434360135338 -37.7982258519037, 144.94435225384262 -37.79817744490916, 144.9445108164095 -37.79729034425823, 144.94643555813323 -37.797511933879356, 144.9462688070169 -37.798449873155654)))",North Melbourne,0,0,18760
2016,317,"MULTIPOLYGON (((144.94434360135338 -37.7982258519037, 144.944331256502 -37.79829511703098, 144.94302228655081 -37.799174870241174, 144.9417684138551 -37.79802555610158, 144.94217122522605 -37.797731863574235, 144.94288051330417 -37.79837867214419, 144.943726985793 -37.79780983727317, 144.94385651342668 -37.79772121805202, 144.94435225384262 -37.79817744490916, 144.94434360135338 -37.7982258519037)))",North Melbourne,5,27,17738
2016,328,"MULTIPOLYGON (((144.94409908098544 -37.7995978013431, 144.944331256502 -37.79829511703098, 144.94434360135338 -37.7982258519037, 144.9462688070169 -37.798449873155654, 144.94602875234776 -37.79980814930674, 144.94409908098544 -37.7995978013431)))",North Melbourne,1,20,27993
2016,327,"MULTIPOLYGON (((144.94875279650296 -37.79943353797046, 144.94863746009213 -37.80009845303427, 144.94602875234776 -37.79980814930674, 144.9462688070169 -37.798449873155654, 144.948871219532 -37.79875081065267, 144.94875279650296 -37.79943353797046)))",North Melbourne,4,19,47415
2016,332,"MULTIPOLYGON (((144.94831231783783 -37.8019240215439, 144.94827718392625 -37.80212550520033, 144.94566866744523 -37.801832062707774, 144.94576503838042 -37.80129205383519, 144.94837121508954 -37.80158626879767, 144.94831231783783 -37.8019240215439)))",North Melbourne,15,57,10279
2016,330,"MULTIPOLYGON (((144.948505357201 -37.80081699765114, 144.94590150455574 -37.800527369298344, 144.94602875234776 -37.79980814930674, 144.94863746009213 -37.80009845303427, 144.948505357201 -37.80081699765114)))",North Melbourne,1,0,20518
2016,331,"MULTIPOLYGON (((144.94590150455574 -37.800527369298344, 144.948505357201 -37.80081699765114, 144.94837121508954 -37.80158626879767, 144.94576503838042 -37.80129205383519, 144.94590150455574 -37.800527369298344)))",North Melbourne,13,86,17089
2016,343,"MULTIPOLYGON (((144.94553114570678 -37.80260263285284, 144.9481432931401 -37.80289329872927, 144.9479692477875 -37.80389593600627, 144.94535446250524 -37.803577984576506, 144.94553114570678 -37.80260263285284)))",North Melbourne,15,127,18887
2016,333,"MULTIPOLYGON (((144.9481432931401 -37.80289329872927, 144.94553114570678 -37.80260263285284, 144.94566866744523 -37.801832062707774, 144.94827718392625 -37.80212550520033, 144.9481432931401 -37.80289329872927)))",North Melbourne,15,206,14436
2016,329,"MULTIPOLYGON (((144.94401262527455 -37.80032471625616, 144.94403840702947 -37.80010794534705, 144.94409908098544 -37.7995978013431, 144.94602875234776 -37.79980814930674, 144.94590150455574 -37.800527369298344, 144.9449331508392 -37.80042230975123, 144.94401262527455 -37.80032471625616)))",North Melbourne,4,107,14266
2016,334,"MULTIPOLYGON (((144.94576503838042 -37.80129205383519, 144.94566866744523 -37.801832062707774, 144.94553114570678 -37.80260263285284, 144.944566468046 -37.80249372664975, 144.9449331508392 -37.80042230975123, 144.94590150455574 -37.800527369298344, 144.94576503838042 -37.80129205383519)))",North Melbourne,13,61,12984
2016,339,"MULTIPOLYGON (((144.94250722102473 -37.802267701387095, 144.94302654203412 -37.802327120650375, 144.9426566329993 -37.804432513078076, 144.94207899424552 -37.80437095813374, 144.94250722102473 -37.802267701387095)))",North Melbourne,5,31,14601
2016,340,"MULTIPOLYGON (((144.94302654203412 -37.802327120650375, 144.9435970219879 -37.80238850702073, 144.94321735282222 -37.80449226742816, 144.9426566329993 -37.804432513078076, 144.94302654203412 -37.802327120650375)))",North Melbourne,7,19,6080
2016,335,"MULTIPOLYGON (((144.9435970219879 -37.80238850702073, 144.94401262527455 -37.80032471625616, 144.9449331508392 -37.80042230975123, 144.944566468046 -37.80249372664975, 144.9435970219879 -37.80238850702073)))",North Melbourne,39,201,22115
2016,315,"MULTIPOLYGON (((144.94004229395233 -37.79869911217225, 144.94007458382728 -37.79851888964208, 144.9402406234638 -37.79840584606751, 144.94077371110532 -37.79804290262336, 144.94135533050445 -37.797646909186895, 144.9415043509742 -37.79778350713932, 144.9417684138551 -37.79802555610158, 144.94302228655081 -37.799174870241174, 144.94403840702947 -37.80010794534705, 144.94401262527455 -37.80032471625616, 144.94329331249563 -37.800246569923516, 144.94199892745158 -37.80010121543747, 144.93983434980066 -37.79985970644306, 144.94004229395233 -37.79869911217225)))",North Melbourne,8,196,47811
2016,336,"MULTIPOLYGON (((144.94329331249563 -37.800246569923516, 144.94401262527455 -37.80032471625616, 144.9435970219879 -37.80238850702073, 144.94302654203412 -37.802327120650375, 144.94250722102473 -37.802267701387095, 144.94329331249563 -37.800246569923516)))",North Melbourne,9,57,16032
2016,337,"MULTIPOLYGON (((144.94250722102473 -37.802267701387095, 144.94162577016772 -37.80216822409577, 144.94199892745158 -37.80010121543747, 144.94329331249563 -37.800246569923516, 144.94250722102473 -37.802267701387095)))",North Melbourne,16,134,17654
2016,429,"MULTIPOLYGON (((144.94733971477964 -37.81027283914459, 144.9456053829055 -37.811115058321754, 144.9451975139658 -37.810597944745794, 144.94678173614332 -37.809633551710974, 144.94733971477964 -37.81027283914459)))",West Melbourne (Residential),13,92,9695
2016,430,"MULTIPOLYGON (((144.94678173614332 -37.809633551710974, 144.94868719591534 -37.80847321442062, 144.9493923910243 -37.80927537487028, 144.94733971477964 -37.81027283914459, 144.94678173614332 -37.809633551710974)))",West Melbourne (Residential),14,131,20450
2016,442,"MULTIPOLYGON (((144.94733971477964 -37.81027283914459, 144.9478253450337 -37.810957425871244, 144.94601992933292 -37.81164640748115, 144.9456053829055 -37.811115058321754, 144.94733971477964 -37.81027283914459)))",West Melbourne (Residential),3,202,8721
2016,1012,"MULTIPOLYGON (((144.93632118976356 -37.79947428183509, 144.93641709716576 -37.79948478318444, 144.93706400407922 -37.799555617403946, 144.93706478874293 -37.799555703243506, 144.9374599323538 -37.7995989681021, 144.93983434980066 -37.79985970644306, 144.94199892745158 -37.80010121543747, 144.94162577016772 -37.80216822409577, 144.94124510909666 -37.80428242826681, 144.9401699061851 -37.80416119448647, 144.94100482005643 -37.80499539842167, 144.94099563241704 -37.805046641636345, 144.94014375480975 -37.80418812641845, 144.9400554066475 -37.804245298752384, 144.93996822513847 -37.80423955614579, 144.93975592793967 -37.80406210383335, 144.93970788942278 -37.804089704404795, 144.93973930593356 -37.804263289364116, 144.93994699340686 -37.804464776477296, 144.9400275223008 -37.80458486172012, 144.9400686181311 -37.804567512986026, 144.94012536280127 -37.8046521525716, 144.94017942166184 -37.804722191191665, 144.94023484644688 -37.80479008275189, 144.94029352155653 -37.80485627294852, 144.94035664912647 -37.80492000959584, 144.94048446750327 -37.80503264076247, 144.94044997892522 -37.80505532840309, 144.94052744119335 -37.805123582730864, 144.9404766069374 -37.80515981301593, 144.94025310531447 -37.80495638123164, 144.94015286248202 -37.80486250708881, 144.94011712756478 -37.804808811865215, 144.9400338098471 -37.80469620900703, 144.9398531282662 -37.80449979500535, 144.93976576866 -37.80441916338577, 144.93975253235865 -37.80439590140842, 144.9396922435631 -37.80434027511123, 144.93966946389176 -37.80431985066462, 144.93955432298492 -37.804217203770285, 144.9394959107303 -37.80416211126166, 144.93940826544835 -37.80408385798776, 144.9391052411302 -37.80405402423228, 144.9379507960511 -37.80311543006488, 144.93789032700704 -37.803086132002434, 144.93752620246332 -37.80290652789612, 144.93716275153926 -37.80272543222194, 144.9370716920852 -37.80268728905101, 144.93704780047634 -37.80267658270973, 144.93702426420822 -37.802665392350264, 144.93700109778828 -37.802653727238734, 144.9369783180193 -37.80264159578029, 144.93695766115562 -37.802629377147234, 144.93693679593989 -37.80261738105501, 144.93691572686274 -37.802605609384486, 144.93689445949985 -37.80259406583798, 144.93653467645998 -37.80241449060984, 144.9362272985433 -37.802346073298814, 144.9364179808382 -37.80182758940589, 144.93646218384615 -37.80170739313962, 144.93638664728567 -37.80142719493964, 144.93638229447595 -37.80140836613635, 144.93643440508217 -37.80123260598909, 144.93634918188963 -37.801216994763266, 144.9362079562754 -37.800935774143554, 144.93609299557394 -37.80064145552411, 144.93598980027082 -37.800154549471365, 144.93603675414738 -37.79974702799604, 144.93611004165945 -37.79945116115229, 144.93629950237414 -37.79947190658046, 144.93632118976356 -37.79947428183509)))",North Melbourne,25,386,201797
2016,408,"MULTIPOLYGON (((144.94124345486935 -37.80559557836632, 144.94105097973622 -37.805361899201195, 144.94107649649595 -37.80521886314813, 144.94191060615378 -37.805316449634425, 144.94189031098406 -37.805430404341415, 144.94176340369376 -37.80614226744421, 144.94175101160093 -37.80621177827184, 144.94124345486935 -37.80559557836632)))",West Melbourne (Residential),1,0,1111
2016,401,"MULTIPOLYGON (((144.9411897993431 -37.80458960962531, 144.942025252487 -37.804672716120535, 144.94191060615378 -37.805316449634425, 144.94107649649595 -37.80521886314813, 144.9411897993431 -37.80458960962531)))",West Melbourne (Residential),1,8,11123
2016,338,"MULTIPOLYGON (((144.942025252487 -37.804672716120535, 144.9411897993431 -37.80458960962531, 144.94124510909666 -37.80428242826681, 144.94162577016772 -37.80216822409577, 144.94250722102473 -37.802267701387095, 144.94207899424552 -37.80437095813374, 144.942025252487 -37.804672716120535)))",North Melbourne,7,86,31844
2016,344,"MULTIPOLYGON (((144.94515008974287 -37.80470614966838, 144.94535446250524 -37.803577984576506, 144.9479692477875 -37.80389593600627, 144.94780366507518 -37.80496345890775, 144.94515008974287 -37.80470614966838)))",North Melbourne,2,70,24295
2016,342,"MULTIPOLYGON (((144.94515008974287 -37.80470614966838, 144.94419083440087 -37.80459898477575, 144.944566468046 -37.80249372664975, 144.94553114570678 -37.80260263285284, 144.94535446250524 -37.803577984576506, 144.94515008974287 -37.80470614966838)))",North Melbourne,14,90,13771
2016,341,"MULTIPOLYGON (((144.94321735282222 -37.80449226742816, 144.9435970219879 -37.80238850702073, 144.944566468046 -37.80249372664975, 144.94419083440087 -37.80459898477575, 144.94321735282222 -37.80449226742816)))",North Melbourne,11,169,17898
2016,402,"MULTIPOLYGON (((144.9426566329993 -37.804432513078076, 144.94321735282222 -37.80449226742816, 144.94305250266584 -37.80543041395481, 144.94248833509016 -37.80537501425784, 144.94189031098406 -37.805430404341415, 144.94191060615378 -37.805316449634425, 144.942025252487 -37.804672716120535, 144.94207899424552 -37.80437095813374, 144.9426566329993 -37.804432513078076)))",West Melbourne (Residential),4,21,7952
2016,413,"MULTIPOLYGON (((144.9432207580923 -37.80544661818333, 144.9448383320427 -37.80615481623095, 144.94414707471603 -37.807151656659904, 144.94284670798106 -37.80658785921211, 144.94305250266584 -37.80543041395481, 144.9432207580923 -37.80544661818333)))",West Melbourne (Residential),9,105,18012
2016,403,"MULTIPOLYGON (((144.9432207580923 -37.80544661818333, 144.94305250266584 -37.80543041395481, 144.94321735282222 -37.80449226742816, 144.94419083440087 -37.80459898477575, 144.94402162658892 -37.805523747266264, 144.9432207580923 -37.80544661818333)))",West Melbourne (Residential),10,222,10491
2016,407,"MULTIPOLYGON (((144.94402162658892 -37.805523747266264, 144.9449868102394 -37.805629593262786, 144.94492046355282 -37.80603525345305, 144.9448383320427 -37.80615481623095, 144.9432207580923 -37.80544661818333, 144.94402162658892 -37.805523747266264)))",West Melbourne (Residential),1,42,1450
2016,404,"MULTIPOLYGON (((144.94402162658892 -37.805523747266264, 144.94419083440087 -37.80459898477575, 144.94515008974287 -37.80470614966838, 144.9449868102394 -37.805629593262786, 144.94402162658892 -37.805523747266264)))",West Melbourne (Residential),3,16,6069
2016,406,"MULTIPOLYGON (((144.9474681015545 -37.80590394489782, 144.94744605343672 -37.80603839615298, 144.94736569494225 -37.806528416790925, 144.94732834887677 -37.80675614777214, 144.94696869637522 -37.807090994044316, 144.9448383320427 -37.80615481623095, 144.94492046355282 -37.80603525345305, 144.9449868102394 -37.805629593262786, 144.9474681015545 -37.80590394489782)))",West Melbourne (Residential),1,0,15453
